Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
word,reading,romaji,part_of_speech,meaning,example,english,level
あっ,,a,thán từ,chào; à; ồ; ôi,,ah; oh,
嗚呼,ああ,aa,thán từ,chào; ôi; à; ồ,,ah!; oh!; alas!,
嗚呼嗚呼,ああああ,aaaa,thán từ,"thôi rồi, Lượm ơi",,aaah!; oooh!; oh no!,
ああ言う,ああいう,aaiu,cụm từ,rứa; như thế; thế; như vậy,,that sort of; like that,
アバウト,,abauto,tính từ na,xấp xỉ; sần sượng; nhám; sần sùi,,approximate (number); rough (calculation),
アベック,,abekku,danh từ,cặp đôi; ngẫu; cặp; đôi,,(romantic) couple,
アベニュー,,abenyu,danh từ,đại lộ,,avenue; boulevard,
脂身,あぶらみ,aburami,danh từ,chất béo; béo; ngậy; phì,,fat (of meat); fatty meat,
アーチ,,achi,danh từ,mái vòm; vòm,,arch,
彼方此方,あちこち,achikochi,động từ,khắp nơi; khắp; lung tung; bốn bề,,here and there; various places; all around,
あだ名,あだな,adana,động từ,biệt hiệu,,nickname,
アダプター,,adaputa,danh từ,nắn dòng,,adapter,
アダルト,,adaruto,tính từ na,thành niên; lớn; người lớn; cấp 3,,adult,
アド,,ado,danh từ,quảng cáo,,ad; advertisement,
アドバイス,,adobaisu,động từ,lời khuyên,,advice,
アドバイザー,,adobaiza,danh từ,tham; cố vấn; sĩ,,adviser; advisor,
アドバンテージ,,adobanteji,danh từ,lợi thế; ích lợi; ưu thế; lợi,,advantage,
アドベンチャー,,adobencha,danh từ,phiêu lưu,,adventure,
アドレス,,adoresu,danh từ,địa chỉ; đặt ra,,address,
亜鉛,あえん,aen,danh từ,kẽm,,zinc (Zn),
アフィリエイト,,afirieito,danh từ,liên hệ,,affiliate; affiliation,
溢れる,あふれる,afureru,động từ,trào; tràn; dềnh; ứa,,to overflow; to brim over; to flood,
阿弗利加,アフリカ,afurika,danh từ,châu Phi,,Africa,
アフター,,afuta,tiền tố,kế đến; kế; sau khi; sau,,after,
アフタヌーン,,afutanun,danh từ,buổi chiều; hôm,,afternoon,
上がったり,あがったり,agattari,tính từ na,toang; nghèo; nghèo nàn; tồi,,"doomed (business, trade, etc.); in a bad state; poor",
上げ,あげ,age,danh từ,dâng; hiện; trỗi; lên,,tuck (e.g. in a dress),
挙句,あげく,ageku,trạng từ,kế đến; kế; sau khi; sau,,after (a long process); at the end of,
アグレッシブ,,aguresshibu,tính từ na,hung hăng; hùng hổ; dạn dĩ; thù địch,,aggressive,
阿呆,アホ,aho,danh từ,thánh; chó chết; bịp; loè,,fool; idiot; simpleton,
藍,あい,ai,danh từ,chàm,,"dyer's knotweed (Persicaria tinctoria, used to produce indigo dye)",
アイボリー,,aibori,danh từ,ngà voi; ngà,,ivory,
相棒,あいぼう,aibou,danh từ,đối tác; cộng sự; đồng bọn; đồng loã,,partner; pal; accomplice,
愛着,あいちゃく,aichaku,động từ,cảm tình; luyến ái; phụ trương; yêu,,attachment (esp. to things); love; affection,
間中,あいだじゅう,aidajuu,danh từ,vào; xuyên suốt,,during,
アイデア,,aidea,danh từ,ý tưởng; tâm tư; ý nghĩ; hàm nghĩa,,idea,
アイデンティティ,,aidentiti,danh từ,danh tính; hằng đẳng thức; bản sắc; thân thế,,identity,
アイドル,,aidoru,danh từ,hình tượng; biểu tượng; ngẫu tượng; tinh cầu,,performer (usu. in a boy band or girl group) with an image cultivated to foster a dedicated fan following; Japanese idol,
愛人,あいじん,aijin,danh từ,nhân tình; người tình; tình nhân; ghệ,,lover; mistress,
愛国,あいこく,aikoku,danh từ,chủ nghĩa yêu nước,,love of one's country; patriotism,
アイコン,,aikon,danh từ,hình tượng; biểu tượng,,icon,
合言葉,あいことば,aikotoba,danh từ,mật khẩu; khẩu hiệu; châm ngôn; biểu ngữ,,password; watchword,
愛好,あいこう,aikou,động từ,yêu; mến; thương yêu; yêu thích,,love; adoration,
愛嬌,あいきょう,aikyou,danh từ,bùa; ngải; phong vị; duyên,,charm; attractiveness; amiability,
曖昧,あいまい,aimai,tính từ na,mập mờ; mơ hồ; mờ; mờ ảo,,vague; ambiguous; unclear,
相まって,あいまって,aimatte,trạng từ,cùng nhau; với nhau; song song; nhau,,coupled with; together,
生憎,あいにく,ainiku,tính từ na,khổ nỗi,,"unfortunately; sorry, but ...",
アイリス,,airisu,danh từ,diên vĩ; mống mắt,,iris,
アイロン,,airon,danh từ,sắt; ủi; là,,iron (for pressing clothes),
挨拶,あいさつ,aisatsu,động từ,lời chào; nam mô; chào; chào hỏi,,greeting; greetings; salutation,
愛称,あいしょう,aishou,danh từ,biệt hiệu,,pet name; nickname; affectionate name,
相性,あいしょう,aishou,danh từ,ái lực; hoá học,,affinity; compatibility; chemistry (between people),
哀愁,あいしゅう,aishuu,danh từ,ưu phiền; thất tình; ưu sầu,,pathos; sorrow; grief,
アイス,,aisu,danh từ,nước đá; cà rem; kem,,ice,
愛す,あいす,aisu,động từ,yêu; mến; thương yêu; yêu thích,,to love,
アイスコーヒー,,aisukohi,danh từ,cà phê đá,,iced coffee,
相手取る,あいてどる,aitedoru,động từ,thách; thách thức; thử thách; đố,,"to challenge (esp. in a lawsuit); to take on an opponent (in negotiations, contest, etc.)",
相手方,あいてかた,aitekata,danh từ,đối phương,,other party; opposite party; opposing team,
アイテム,,aitemu,danh từ,mặt hàng; mục,,item,
哀悼,あいとう,aitou,động từ,tiếc; ưu phiền; thiện cảm; khóc than,,condolence; regret; tribute,
彼奴,あいつ,aitsu,đại từ,nẩu; y; nó; ngài,,he; she; that guy,
あいつ等,あいつら,aitsura,đại từ,bầy quân; nẩu,,they; those guys; those fellows,
愛用,あいよう,aiyou,động từ,yêu thích,,favorite; favourite; habitually used,
亜細亜,アジア,ajia,danh từ,khuyên,,Asia,
味気ない,あじけない,ajikenai,tính từ i,chán ngắt; nhạt nhẽo; đần độn; khổ sở,,wearisome; insipid; dull,
アジト,,ajito,danh từ,hang ổ; sào huyệt; ổ nhóm,,hideout; secret base of operations; safe house,
味付け,あじつけ,ajitsuke,động từ,điều vị; vị; nêm,,seasoning; flavour; flavor,
アカデミー,,akademi,danh từ,viện hàn lâm,,academy,
アカデミック,,akademikku,tính từ na,khoa học,,academic,
赤色,あかいろ,akairo,danh từ,quỳnh; ngũ sắc; đỏ; toét,,red; red color,
証,あかし,akashi,danh từ,bằng cớ; chứng tích; bằng chứng; chứng cứ,,proof; evidence; sign,
赤信号,あかしんごう,akashingou,danh từ,đèn đỏ,,red light (traffic),
暁,あかつき,akatsuki,danh từ,bình minh; rạng đông; tảng sáng; ban mai,,dawn; daybreak,
朱,あけ,ake,danh từ,quỳnh; ngũ sắc; đỏ; toét,,red; vermilion; cinnabar,
曙,あけぼの,akebono,danh từ,bình minh; rạng đông; tảng sáng; ban mai,,dawn; daybreak; beginning,
商い,あきない,akinai,danh từ,thương nghiệp; thương; mậu dịch; nghiệp,,trade; business; trading,
アキレス腱,アキレスけん,akiresuken,danh từ,chỗ phạm,,Achilles tendon; calcaneal tendon,
アーキテクチャ,,akitekucha,danh từ,kiến trúc; công trình; cấu trúc,,architecture,
圧巻,あっかん,akkan,danh từ,điểm nhấn; nêu bật; sáng chói; lộng lẫy,,highlight; best part,
アコーディオン,,akodion,danh từ,đàn xếp; ắc-coóc-đê-ông,,accordion,
アコード,,akodo,danh từ,phù hợp; nhất trí,,accord,
アーク,,aku,danh từ,hồ; cung,,arc,
欠伸,あくび,akubi,động từ,ngáp,,yawn; yawning,
悪意,あくい,akui,danh từ,ác ý,,ill will; spite; evil intention,
悪事,あくじ,akuji,danh từ,tội ác; sai phạm; tội phạm; thói tật,,evil deed; wrongdoing; crime,
飽くまでも,あくまでも,akumademo,trạng từ,cuối; chót; xong; chấm dứt,,to the end; to the bitter end; to the last,
悪夢,あくむ,akumu,danh từ,ác mộng,,nightmare; bad dream,
悪人,あくにん,akunin,danh từ,dửu dân; ác nhân; lưu manh; tội nhân,,bad person; villain; scoundrel,
明くる,あくる,akuru,tính từ,sau; tới; thứ đến,,"next (day, morning, etc.); following",
握力,あくりょく,akuryoku,danh từ,cán; bấu; nắm lấy; nắm,,grip (of hand); grip strength,
悪性,あくせい,akusei,tính từ,ác tính; hiểm độc,,"malignant (cancer); virulent; pernicious (anemia, anaemia)",
アクセス,,akusesu,động từ,truy cập,,"access (to a place, esp. using public transport)",
アクシデント,,akushidento,danh từ,nạn; tai biến; bất trắc,,accident,
悪質,あくしつ,akushitsu,tính từ na,cay độc; nham hiểm; ác tính; thâm hiểm,,malicious; vicious; malignant,
アクション,,akushon,danh từ,động thái; động tác; hành động; tác động,,action,
悪臭,あくしゅう,akushuu,danh từ,sực; sặc sụa; thối; thún,,bad smell; foul smell; offensive odor,
アクティビティ,,akutibiti,danh từ,động tĩnh; hoạt động; nghề của nàng; nghề của chàng,,activity,
アクティブ,,akutibu,tính từ na,năng động; hoạt động; tích cực,,active,
悪徳,あくとく,akutoku,tính từ na,thói tật; tội ác; chứng; biến chất,,vice; immorality; corruption,
悪役,あくやく,akuyaku,danh từ,ác nhân,,villain; baddie; the villain's part,
悪用,あくよう,akuyou,động từ,chửi; dức; lăng mạ; ngược đãi,,abuse; misuse; perversion,
アマ,,ama,danh từ,nghiệp dư; a-ma-tơ,,amateur,
尼,あま,ama,danh từ,sư cô; vãi; xơ,,Buddhist nun,
雨垂れ,あまだれ,amadare,danh từ,dấu chấm nhễu; dấu chấm than,,"raindrops (dripping from eaves, branches, etc.)",
天下り,あまくだり,amakudari,động từ,sai khiến; cầu khiến; hạ lệnh; chỉ huy,,retiring high-ranking government officials taking a lucrative job in a private or semi-private corporation,
甘味,あまみ,amami,danh từ,bánh bò; ngọt; dịu dàng; ngọt ngào,,sweetness; sugary taste,
余りに,あまりに,amarini,trạng từ,quá sức; quá đỗi; cũng; quá thể,,too (much); overly; excessively,
余す,あます,amasu,động từ,chừa; cứu vãn; bòn; cứu,,to save; to leave over; to spare,
雨降り,あめふり,amefuri,danh từ,vũ lượng; mưa; vũ; nhuần,,rainfall; rainy weather; rain,
アメフト,,amefuto,danh từ,bóng bầu dục,,American football,
雨が降る,あめがふる,amegafuru,động từ,mưa; vũ,,to rain,
亜米利加,アメリカ,amerika,danh từ,châu Mĩ; hợp chúng quốc; choa; chúng tao,,(United States of) America; United States; US,
アメリカン,,amerikan,danh từ,người Mĩ,,American,
網戸,あみど,amido,danh từ,bình phong; màn ảnh; màn,,window screen; insect screen; mosquito screen,
アーモンド,,amondo,danh từ,hạnh nhân,,almond (Prunus dulcis),
アーム,,amu,danh từ,cánh tay; chiến cụ; tay,,arm,
アミューズメント,,amyuzumento,danh từ,trò,,amusement,
侮る,あなどる,anadoru,động từ,khinh bỉ; khinh miệt; khinh thường; miệt thị,,to disdain; to look down on; to make light of,
